"ID","ESTU","PROV","date","year_month","sex","age_group","sector_eu","sector_eu_without","education","indep","ideology","identity","income","work_sit_fact","PESO"
"103_3",3191,43,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,4,0,5,3,8,"Currently working",NA
"103_3",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,4,1,4,4,7,"Unemployed",1.8325
"103_3",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,4,0,6,3,6,"Currently working",NA
"104_1",3113,8,2015-09-30,"2015-09",1,"30-34","Non-tradable sectors",NA,4,1,1,5,4,"Currently working",NA
"104_1",3191,8,2017-10-02,"2017-10",1,"30-34","Non-tradable sectors",NA,4,NA,3,4,6,"Currently working",NA
"104_1",3202,8,2017-12-28,"2017-12",1,"30-34","Non-tradable sectors",NA,4,1,4,3,NA,"Currently working",1.8325
"104_1",3226,8,2018-10-01,"2018-10",1,"30-34","Non-tradable sectors",NA,4,NA,NA,NA,3,"Unemployed",NA
"105_1",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,5,0,5,3,NA,"Currently working",NA
"105_1",3191,8,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,5,0,5,1,NA,"Currently working",NA
"105_1",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,5,1,3,4,7,"Currently working",1.8325
"105_1",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,5,1,1,5,8,"Currently working",NA
"105_2",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,5,1,1,NA,6,"Currently working",NA
"105_2",3191,25,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,5,1,3,4,9,"Currently working",NA
"105_2",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,5,1,6,5,6,"Currently working",1.8325
"105_2",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,5,0,3,NA,NA,"Currently working",NA
"105_3",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,5,1,4,4,NA,"Currently working",NA
"105_3",3191,43,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,5,NA,4,5,7,"Currently working",NA
"105_3",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,5,0,1,3,8,"Currently working",1.8325
"105_3",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,5,NA,3,5,NA,"Currently working",NA
"106_1",3113,8,2015-09-30,"2015-09",1,"30-34","Non-tradable sectors",NA,5,0,2,3,10,"Currently working",NA
"106_1",3191,17,2017-10-02,"2017-10",1,"30-34","Non-tradable sectors",NA,5,0,1,5,7,"Currently working",NA
"106_1",3202,8,2017-12-28,"2017-12",1,"30-34","Non-tradable sectors",NA,5,0,3,1,NA,"Currently working",1.8325
"106_1",3226,8,2018-10-01,"2018-10",1,"30-34","Non-tradable sectors",NA,5,1,1,3,7,"Currently working",NA
"106_2",3113,8,2015-09-30,"2015-09",1,"30-34","Non-tradable sectors",NA,5,1,2,5,9,"Currently working",NA
"106_2",3191,25,2017-10-02,"2017-10",1,"30-34","Non-tradable sectors",NA,5,1,2,4,10,"Currently working",NA
"106_2",3202,8,2017-12-28,"2017-12",1,"30-34","Non-tradable sectors",NA,5,0,4,4,9,"Currently working",1.8325
"106_2",3226,25,2018-10-01,"2018-10",1,"30-34","Non-tradable sectors",NA,5,1,5,4,6,"Currently working",NA
"107_1",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,3,0,8,2,NA,"Currently working",NA
"107_1",3191,8,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,3,0,7,1,NA,"Currently working",NA
"107_1",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,3,1,3,5,9,"Currently working",1.8325
"107_1",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,3,NA,4,3,NA,"Currently working",NA
"107_2",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,3,0,1,1,NA,"Currently working",NA
"107_2",3191,8,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,3,0,3,4,NA,"Currently working",NA
"107_2",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,3,0,2,4,NA,"Currently working",1.8325
"107_2",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,3,0,5,3,NA,"Currently working",NA
"107_3",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,3,NA,3,3,NA,"Currently working",NA
"107_3",3191,43,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,3,NA,2,3,NA,"Currently working",NA
"107_3",3202,17,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,3,NA,3,3,7,"Currently working",0.47976
"107_3",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,3,0,2,4,NA,"Currently working",NA
"11_1",3113,8,2015-09-30,"2015-09",2,"25-29","Non-tradable sectors",NA,2,1,3,5,6,"Currently working",NA
"11_1",3191,8,2017-10-02,"2017-10",2,"25-29","Non-tradable sectors",NA,2,0,5,3,NA,"Currently working",NA
"11_1",3202,8,2017-12-28,"2017-12",2,"25-29","Non-tradable sectors",NA,2,0,5,3,NA,"Unemployed",1.8325
"11_1",3226,8,2018-10-01,"2018-10",2,"25-29","Non-tradable sectors",NA,2,NA,NA,3,1,"Unemployed",NA
"111_1",3113,8,2015-09-30,"2015-09",2,"75-79","Non-tradable sectors",NA,2,NA,6,2,7,"Retired",NA
"111_1",3191,8,2017-10-02,"2017-10",2,"75-79","Non-tradable sectors",NA,2,1,5,5,5,"Retired",NA
"111_1",3202,17,2017-12-28,"2017-12",2,"75-79","Non-tradable sectors",NA,2,1,6,4,5,"Retired",0.47976
"111_1",3226,17,2018-10-01,"2018-10",2,"75-79","Non-tradable sectors",NA,2,NA,6,2,1,"Retired",NA
"119_1",3113,8,2015-09-30,"2015-09",2,"75-79","Non-tradable sectors",NA,1,0,6,1,5,"Retired",NA
"119_1",3191,8,2017-10-02,"2017-10",2,"75-79","Non-tradable sectors",NA,1,1,5,4,7,"Retired",NA
"119_1",3202,8,2017-12-28,"2017-12",2,"75-79","Non-tradable sectors",NA,1,1,5,4,5,"Retired",1.8325
"119_1",3226,8,2018-10-01,"2018-10",2,"75-79","Non-tradable sectors",NA,1,1,2,5,NA,NA,NA
"119_2",3113,8,2015-09-30,"2015-09",2,"75-79","Non-tradable sectors",NA,1,0,3,1,5,NA,NA
"119_2",3191,8,2017-10-02,"2017-10",2,"75-79","Non-tradable sectors",NA,1,0,3,3,NA,"Retired",NA
"119_2",3202,8,2017-12-28,"2017-12",2,"75-79","Non-tradable sectors",NA,1,0,7,3,6,"Retired",1.8325
"119_2",3226,8,2018-10-01,"2018-10",2,"75-79","Non-tradable sectors",NA,1,NA,NA,3,NA,"Retired",NA
"12_1",3113,8,2015-09-30,"2015-09",1,"25-29","Non-tradable sectors",NA,2,0,4,3,8,"Currently working",NA
"12_1",3191,8,2017-10-02,"2017-10",1,"25-29","Non-tradable sectors",NA,2,0,3,4,7,"Currently working",NA
"12_1",3202,8,2017-12-28,"2017-12",1,"25-29","Non-tradable sectors",NA,2,1,3,5,NA,"Currently working",1.8325
"12_1",3226,8,2018-10-01,"2018-10",1,"25-29","Non-tradable sectors",NA,2,NA,NA,NA,NA,"Currently working",NA
"120_1",3113,8,2015-09-30,"2015-09",1,"75-79","Non-tradable sectors",NA,1,1,5,4,NA,"Retired",NA
"120_1",3191,8,2017-10-02,"2017-10",1,"75-79","Non-tradable sectors",NA,1,NA,NA,3,5,"Retired",NA
"120_1",3202,8,2017-12-28,"2017-12",1,"75-79","Non-tradable sectors",NA,1,0,9,1,4,"Retired",1.8325
"120_1",3226,8,2018-10-01,"2018-10",1,"75-79","Non-tradable sectors",NA,1,0,3,4,NA,"Retired",NA
"127_1",3113,43,2015-09-30,"2015-09",2,"70-74","Non-tradable sectors",NA,3,NA,6,4,5,"Retired",NA
"127_1",3191,43,2017-10-02,"2017-10",2,"70-74","Non-tradable sectors",NA,3,1,6,4,4,"Retired",NA
"127_1",3202,43,2017-12-28,"2017-12",2,"70-74","Non-tradable sectors",NA,3,NA,NA,5,NA,"Retired",0.52837
"127_1",3226,8,2018-10-01,"2018-10",2,"70-74","Non-tradable sectors",NA,3,0,NA,3,NA,"Retired",NA
"128_1",3113,43,2015-09-30,"2015-09",1,"70-74","Non-tradable sectors",NA,3,1,NA,5,5,"Retired",NA
"128_1",3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,3,1,6,5,5,"Retired",NA
"128_1",3202,8,2017-12-28,"2017-12",1,"70-74","Non-tradable sectors",NA,3,1,5,5,NA,"Retired",1.8325
"128_1",3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,3,1,5,5,7,"Retired",NA
"129_1",3113,8,2015-09-30,"2015-09",2,"70-74","Non-tradable sectors",NA,1,1,5,4,NA,"Retired",NA
"129_1",3191,43,2017-10-02,"2017-10",2,"70-74","Non-tradable sectors",NA,1,0,4,1,NA,NA,NA
"129_1",3202,8,2017-12-28,"2017-12",2,"70-74","Non-tradable sectors",NA,1,1,4,4,NA,"Retired",1.8325
"129_1",3226,8,2018-10-01,"2018-10",2,"70-74","Non-tradable sectors",NA,1,NA,4,4,4,"Retired",NA
"13_1",3113,8,2015-09-30,"2015-09",2,"25-29","Non-tradable sectors",NA,4,0,5,3,7,"Currently working",NA
"13_1",3191,8,2017-10-02,"2017-10",2,"25-29","Non-tradable sectors",NA,4,NA,NA,5,3,"Currently working",NA
"13_1",3202,8,2017-12-28,"2017-12",2,"25-29","Non-tradable sectors",NA,4,0,5,3,NA,"Currently working",1.8325
"13_1",3226,8,2018-10-01,"2018-10",2,"25-29","Non-tradable sectors",NA,4,NA,NA,3,NA,"Currently working",NA
"13_2",3113,8,2015-09-30,"2015-09",2,"25-29","Non-tradable sectors",NA,4,0,1,2,NA,"Currently working",NA
"13_2",3191,17,2017-10-02,"2017-10",2,"25-29","Non-tradable sectors",NA,4,NA,NA,NA,5,"Currently working",NA
"13_2",3202,8,2017-12-28,"2017-12",2,"25-29","Non-tradable sectors",NA,4,1,2,3,NA,"Currently working",1.8325
"13_2",3226,8,2018-10-01,"2018-10",2,"25-29","Non-tradable sectors",NA,4,1,1,5,7,"Currently working",NA
"130_1",3113,8,2015-09-30,"2015-09",1,"70-74","Non-tradable sectors",NA,1,0,6,2,7,"Retired",NA
"130_1",3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,1,NA,5,5,5,"Retired",NA
"130_1",3202,8,2017-12-28,"2017-12",1,"70-74","Non-tradable sectors",NA,1,0,3,1,6,"Retired",1.8325
"130_1",3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,1,0,5,NA,NA,"Retired",NA
"130_2",3113,8,2015-09-30,"2015-09",1,"70-74","Non-tradable sectors",NA,1,NA,NA,1,4,"Retired",NA
"130_2",3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,1,0,NA,2,NA,"Retired",NA
"130_2",3202,8,2017-12-28,"2017-12",1,"70-74","Non-tradable sectors",NA,1,0,7,3,4,"Retired",1.8325
"130_2",3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,1,NA,7,3,4,"Retired",NA
"130_3",3113,8,2015-09-30,"2015-09",1,"70-74","Non-tradable sectors",NA,1,0,3,1,6,"Retired",NA
"130_3",3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,1,0,8,2,NA,"Retired",NA
"130_3",3202,8,2017-12-28,"2017-12",1,"70-74","Non-tradable sectors",NA,1,1,7,4,4,"Retired",1.8325
"130_3",3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,1,NA,NA,3,NA,"Retired",NA
"130_4",3113,8,2015-09-30,"2015-09",1,"70-74","Non-tradable sectors",NA,1,0,3,1,5,"Retired",NA
"130_4",3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,1,NA,5,3,NA,"Retired",NA
"130_4",3202,8,2017-12-28,"2017-12",1,"70-74","Non-tradable sectors",NA,1,1,4,5,NA,"Retired",1.8325
"130_4",3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,1,0,7,3,NA,"Retired",NA
"130_5",3113,8,2015-09-30,"2015-09",1,"70-74","Non-tradable sectors",NA,1,0,5,3,NA,"Retired",NA
"130_5",3191,8,2017-10-02,"2017-10",1,"70-74","Non-tradable sectors",NA,1,0,5,2,NA,"Retired",NA
"130_5",3202,8,2017-12-28,"2017-12",1,"70-74","Non-tradable sectors",NA,1,0,7,2,6,"Retired",1.8325
"130_5",3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,1,0,4,3,3,"Retired",NA
"14_1",3113,8,2015-09-30,"2015-09",1,"25-29","Non-tradable sectors",NA,4,0,5,3,6,"Currently working",NA
"14_1",3191,8,2017-10-02,"2017-10",1,"25-29","Non-tradable sectors",NA,4,NA,2,NA,6,"Currently working",NA
"14_1",3202,8,2017-12-28,"2017-12",1,"25-29","Non-tradable sectors",NA,4,NA,5,NA,7,"Unemployed",1.8325
"14_1",3226,8,2018-10-01,"2018-10",1,"25-29","Non-tradable sectors",NA,4,0,5,4,6,"Currently working",NA
"14_2",3113,8,2015-09-30,"2015-09",1,"25-29","Non-tradable sectors",NA,4,1,2,5,NA,"Currently working",NA
"14_2",3191,8,2017-10-02,"2017-10",1,"25-29","Non-tradable sectors",NA,4,NA,5,3,NA,"Currently working",NA
"14_2",3202,8,2017-12-28,"2017-12",1,"25-29","Non-tradable sectors",NA,4,NA,5,3,7,"Currently working",1.8325
"14_2",3226,8,2018-10-01,"2018-10",1,"25-29","Non-tradable sectors",NA,4,0,NA,3,NA,NA,NA
"14_3",3113,8,2015-09-30,"2015-09",1,"25-29","Non-tradable sectors",NA,4,1,NA,3,NA,"Currently working",NA
"14_3",3191,17,2017-10-02,"2017-10",1,"25-29","Non-tradable sectors",NA,4,0,1,5,7,"Currently working",NA
"14_3",3202,8,2017-12-28,"2017-12",1,"25-29","Non-tradable sectors",NA,4,0,7,3,NA,"Currently working",1.8325
"14_3",3226,8,2018-10-01,"2018-10",1,"25-29","Non-tradable sectors",NA,4,0,5,1,4,"Currently working",NA
"146_1",3113,25,2015-09-30,"2015-09",1,"25-29","Export-oriented sectors","Export-oriented sectors",5,1,4,4,NA,"Currently working",NA
"146_1",3191,8,2017-10-02,"2017-10",1,"25-29","Export-oriented sectors","Export-oriented sectors",5,NA,3,5,NA,"Unemployed",NA
"146_1",3202,8,2017-12-28,"2017-12",1,"25-29","Export-oriented sectors","Export-oriented sectors",5,0,2,4,NA,"Currently working",1.8325
"146_1",3226,25,2018-10-01,"2018-10",1,"25-29","Export-oriented sectors","Export-oriented sectors",5,1,2,4,3,"Currently working",NA
"15_1",3113,8,2015-09-30,"2015-09",2,"25-29","Non-tradable sectors",NA,5,0,5,3,NA,"Currently working",NA
"15_1",3191,8,2017-10-02,"2017-10",2,"25-29","Non-tradable sectors",NA,5,1,3,5,NA,"Unemployed",NA
"15_1",3202,8,2017-12-28,"2017-12",2,"25-29","Non-tradable sectors",NA,5,1,2,4,5,"Currently working",1.8325
"15_1",3226,25,2018-10-01,"2018-10",2,"25-29","Non-tradable sectors",NA,5,1,3,4,NA,"Currently working",NA
"16_1",3113,8,2015-09-30,"2015-09",1,"25-29","Non-tradable sectors",NA,5,0,5,NA,NA,"Currently working",NA
"16_1",3191,8,2017-10-02,"2017-10",1,"25-29","Non-tradable sectors",NA,5,0,8,2,NA,"Currently working",NA
"16_1",3202,8,2017-12-28,"2017-12",1,"25-29","Non-tradable sectors",NA,5,1,1,5,NA,"Currently working",1.8325
"16_1",3226,8,2018-10-01,"2018-10",1,"25-29","Non-tradable sectors",NA,5,1,3,3,5,"Currently working",NA
"164_1",3113,8,2015-09-30,"2015-09",1,"40-44","Export-oriented sectors","Export-oriented sectors",4,1,4,5,6,"Currently working",NA
"164_1",3191,8,2017-10-02,"2017-10",1,"40-44","Export-oriented sectors","Export-oriented sectors",4,NA,2,4,NA,"Currently working",NA
"164_1",3202,8,2017-12-28,"2017-12",1,"40-44","Export-oriented sectors","Export-oriented sectors",4,NA,3,4,NA,"Currently working",1.8325
"164_1",3226,8,2018-10-01,"2018-10",1,"40-44","Export-oriented sectors","Export-oriented sectors",4,NA,3,3,5,"Currently working",NA
"17_1",3113,8,2015-09-30,"2015-09",2,"25-29","Non-tradable sectors",NA,3,1,3,4,NA,"Currently working",NA
"17_1",3191,8,2017-10-02,"2017-10",2,"25-29","Non-tradable sectors",NA,3,NA,NA,1,NA,"Unemployed",NA
"17_1",3202,8,2017-12-28,"2017-12",2,"25-29","Non-tradable sectors",NA,3,0,1,NA,7,"Currently working",1.8325
"17_1",3226,8,2018-10-01,"2018-10",2,"25-29","Non-tradable sectors",NA,3,0,3,4,4,"Currently working",NA
"20_1",3113,8,2015-09-30,"2015-09",1,"25-29","Non-tradable sectors",NA,1,NA,NA,2,5,"Currently working",NA
"20_1",3191,8,2017-10-02,"2017-10",1,"25-29","Non-tradable sectors",NA,1,NA,NA,1,4,"Unemployed",NA
"20_1",3202,25,2017-12-28,"2017-12",1,"25-29","Non-tradable sectors",NA,1,1,3,4,NA,"Currently working",0.27726
"20_1",3226,8,2018-10-01,"2018-10",1,"25-29","Non-tradable sectors",NA,1,NA,6,NA,1,"Unemployed",NA
"22_1",3113,17,2015-09-30,"2015-09",1,"65-69","Non-tradable sectors",NA,2,1,1,5,9,"Retired",NA
"22_1",3191,17,2017-10-02,"2017-10",1,"65-69","Non-tradable sectors",NA,2,NA,4,3,NA,"Retired",NA
"22_1",3202,8,2017-12-28,"2017-12",1,"65-69","Non-tradable sectors",NA,2,1,5,5,NA,"Retired",1.8325
"22_1",3226,8,2018-10-01,"2018-10",1,"65-69","Non-tradable sectors",NA,2,0,6,2,7,"Currently working",NA
"236_1",3113,8,2015-09-30,"2015-09",1,"30-34","Export-oriented sectors","Export-oriented sectors",5,0,2,3,7,"Currently working",NA
"236_1",3191,8,2017-10-02,"2017-10",1,"30-34","Export-oriented sectors","Export-oriented sectors",5,NA,4,3,9,"Currently working",NA
"236_1",3202,8,2017-12-28,"2017-12",1,"30-34","Export-oriented sectors","Export-oriented sectors",5,1,2,5,NA,"Currently working",1.8325
"236_1",3226,8,2018-10-01,"2018-10",1,"30-34","Export-oriented sectors","Export-oriented sectors",5,0,3,4,5,"Currently working",NA
"25_1",3113,8,2015-09-30,"2015-09",2,"65-69","Non-tradable sectors",NA,5,0,5,4,7,"Retired",NA
"25_1",3191,8,2017-10-02,"2017-10",2,"65-69","Non-tradable sectors",NA,5,NA,5,3,NA,"Retired",NA
"25_1",3202,8,2017-12-28,"2017-12",2,"65-69","Non-tradable sectors",NA,5,1,3,5,NA,"Retired",1.8325
"25_1",3226,8,2018-10-01,"2018-10",2,"65-69","Non-tradable sectors",NA,5,1,1,5,6,"Retired",NA
"26_1",3113,8,2015-09-30,"2015-09",1,"65-69","Non-tradable sectors",NA,5,0,NA,3,6,"Retired",NA
"26_1",3191,8,2017-10-02,"2017-10",1,"65-69","Non-tradable sectors",NA,5,0,5,2,NA,"Retired",NA
"26_1",3202,8,2017-12-28,"2017-12",1,"65-69","Non-tradable sectors",NA,5,1,1,4,NA,"Retired",1.8325
"26_1",3226,8,2018-10-01,"2018-10",1,"65-69","Non-tradable sectors",NA,5,1,2,4,NA,"Retired",NA
"26_2",3113,8,2015-09-30,"2015-09",1,"65-69","Non-tradable sectors",NA,5,NA,2,3,9,"Currently working",NA
"26_2",3191,43,2017-10-02,"2017-10",1,"65-69","Non-tradable sectors",NA,5,0,5,3,5,"Retired",NA
"26_2",3202,8,2017-12-28,"2017-12",1,"65-69","Non-tradable sectors",NA,5,1,2,5,9,"Retired",1.8325
"26_2",3226,8,2018-10-01,"2018-10",1,"65-69","Non-tradable sectors",NA,5,NA,4,4,NA,"Retired",NA
"261_1",3113,25,2015-09-30,"2015-09",2,"60-64","Import-oriented sectors","Import-oriented sectors",2,0,5,3,5,"Unemployed",NA
"261_1",3191,8,2017-10-02,"2017-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",2,1,4,5,NA,"Currently working",NA
"261_1",3202,8,2017-12-28,"2017-12",2,"60-64","Import-oriented sectors","Import-oriented sectors",2,NA,NA,3,6,NA,1.8325
"261_1",3226,8,2018-10-01,"2018-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",2,NA,NA,3,NA,"Retired",NA
"269_1",3113,8,2015-09-30,"2015-09",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,8,3,4,NA,NA
"269_1",3191,8,2017-10-02,"2017-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,NA,3,4,4,"Retired",NA
"269_1",3202,8,2017-12-28,"2017-12",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,7,3,NA,"Retired",1.8325
"269_1",3226,8,2018-10-01,"2018-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,7,3,NA,"Unemployed",NA
"269_2",3113,8,2015-09-30,"2015-09",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,NA,4,1,6,"Unemployed",NA
"269_2",3191,8,2017-10-02,"2017-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,1,5,4,NA,NA,NA
"269_2",3202,8,2017-12-28,"2017-12",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,4,3,4,"Retired",1.8325
"269_2",3226,8,2018-10-01,"2018-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,1,3,5,1,NA,NA
"269_3",3113,8,2015-09-30,"2015-09",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,5,4,NA,NA,NA
"269_3",3191,8,2017-10-02,"2017-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,NA,3,4,NA,NA,NA
"269_3",3202,8,2017-12-28,"2017-12",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,1,6,3,6,"Retired",1.8325
"269_3",3226,8,2018-10-01,"2018-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,5,3,2,"Unemployed",NA
"269_4",3113,8,2015-09-30,"2015-09",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,NA,3,NA,"Retired",NA
"269_4",3191,43,2017-10-02,"2017-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,5,1,3,"Unemployed",NA
"269_4",3202,8,2017-12-28,"2017-12",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,1,3,5,NA,"Retired",1.8325
"269_4",3226,8,2018-10-01,"2018-10",2,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,NA,1,4,"Retired",NA
"270_1",3113,8,2015-09-30,"2015-09",1,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,5,3,NA,"Retired",NA
"270_1",3191,8,2017-10-02,"2017-10",1,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,10,1,NA,"Retired",NA
"270_1",3202,8,2017-12-28,"2017-12",1,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,3,4,NA,"Retired",1.8325
"270_1",3226,8,2018-10-01,"2018-10",1,"60-64","Import-oriented sectors","Import-oriented sectors",1,0,1,3,4,"Currently working",NA
"273_1",3113,8,2015-09-30,"2015-09",2,"25-29","Import-oriented sectors","Import-oriented sectors",4,0,2,4,NA,"Currently working",NA
"273_1",3191,17,2017-10-02,"2017-10",2,"25-29","Import-oriented sectors","Import-oriented sectors",4,NA,NA,NA,NA,"Currently working",NA
"273_1",3202,8,2017-12-28,"2017-12",2,"25-29","Import-oriented sectors","Import-oriented sectors",4,0,7,3,NA,NA,1.8325
"273_1",3226,8,2018-10-01,"2018-10",2,"25-29","Import-oriented sectors","Import-oriented sectors",4,0,NA,3,5,"Currently working",NA
"28_1",3113,8,2015-09-30,"2015-09",1,"65-69","Non-tradable sectors",NA,3,1,6,4,8,"Retired",NA
"28_1",3191,8,2017-10-02,"2017-10",1,"65-69","Non-tradable sectors",NA,3,1,5,4,NA,"Retired",NA
"28_1",3202,8,2017-12-28,"2017-12",1,"65-69","Non-tradable sectors",NA,3,1,2,4,NA,"Retired",1.8325
